seq,IR,Red
1,224229,209468
1,57324,57283
1,73680,73685
1,90056,90068
1,106453,106454
1,122833,122881
1,139175,139246
1,155620,155660
1,172029,171979
1,188386,188401
1,204732,204602
1,221138,204843
1,224967,204882
1,224925,204862
1,224900,204863
1,224866,204922
1,224840,204960
1,224825,204949
1,224806,204940
1,224790,204957
1,224770,204972
1,224750,205044
1,224747,204992
1,224725,205022
1,224722,205027
1,224698,205026
1,224693,205021
1,224684,205001
1,224689,205005
1,224677,205003
1,224666,204999
1,224672,205068
2,224645,204996
2,224633,205039
2,224389,204876
2,224361,204920
2,224351,204968
2,224331,204879
2,224304,204928
2,224306,204932
2,224290,204862
2,224285,204811
2,224266,204890
2,224259,204851
2,224256,204848
2,224258,204910
2,224267,204897
2,224259,204920
2,224268,204863
2,224275,204838
2,224287,204906
2,224271,204918
2,224267,204914
2,224277,204892
2,224276,204948
2,224281,204890
2,224277,204954
2,224295,204939
2,224286,204959
2,224297,204927
2,224285,204877
2,224282,204919
2,224281,204897
2,224300,204946
3,224284,204905
3,224290,204927
3,224288,204886
3,224292,204870
3,224282,204942
3,224281,204888
3,224276,204909
3,224275,204880
3,224272,204904
3,224260,204922
3,224256,204903
3,224238,204889
3,224232,204935
3,224225,204840
3,224216,204839
3,224214,204877
3,224223,204811
3,224222,204873
3,224204,204835
3,224207,204844
3,224206,204855
3,224220,204892
3,224211,204893
3,224214,204836
3,224225,204889
3,224219,204863
3,224228,204862
3,224232,204876
3,224229,204811
3,224247,204864
3,224233,204891
3,224234,204862
4,224230,204889
4,224252,204905
4,224259,204912
4,224252,204934
4,224256,204862
4,224254,204943
4,224246,204879
4,224241,204860
4,224251,204919
4,224234,204870
4,224250,204830
4,224253,204834
4,224234,204847
4,224242,204866
4,224238,204941
4,224240,204855
4,224244,204923
4,224245,204924
4,224233,204917
4,224218,204873
4,224219,204865
4,224223,204869
4,224239,204809
4,224226,204880
4,224234,204858
4,224237,204886
4,224222,204815
4,224246,204962
4,224235,204878
4,224226,204913
4,224245,204915
4,224245,204902
5,224240,204995
5,224241,204942
5,224227,204936
5,224240,204949
5,224252,204884
5,224245,204931
5,224251,204914
5,224264,204917
5,224263,204894
5,224254,204861
5,224233,204917
5,224259,204886
5,224259,204860
5,224270,204883
5,224268,204911
5,224265,204828
5,224261,204832
5,224254,204854
5,224260,204847
5,224257,204883
5,224273,204881
5,224266,204752
5,224250,204793
5,224234,204787
5,224213,204826
5,224203,204781
5,224182,204801
5,224158,204858
5,224125,204789
5,224123,204805
5,224089,204773
5,224065,204735
6,224057,204749
6,224035,204718
6,224012,204885
6,224013,204835
6,224018,204890
6,224023,204885
6,224030,204886
6,224028,204813
6,224040,204840
6,224041,204900
6,224058,204872
6,224046,204866
6,224066,204886
6,224070,204815
6,224080,204847
6,224081,204860
6,224083,204845
6,224069,204865
6,224069,204807
6,224074,204835
6,224053,204832
6,224058,204805
6,224068,204826
6,224071,204877
6,224090,204823
6,224078,204808
6,224073,204827
6,224067,204732
6,224074,204866
6,224071,204817
6,224065,204837
6,224067,204890
7,224049,204784
7,224049,204789
7,224046,204773
7,224049,204823
7,224050,204785
7,224062,204806
7,224055,204830
7,224054,204818
7,224063,204835
7,224061,204807
7,224048,204779
7,224056,204825
7,224060,204802
7,224049,204765
7,224059,204762
7,224068,204835
7,224070,204876
7,224079,204841
7,224061,204816
7,224077,204791
7,224068,204758
7,224066,204719
7,224083,204795
7,224077,204742
7,224098,204874
7,224080,204778
7,224079,204760
7,224081,204807
7,224092,204750
7,224088,204868
7,224105,204792
7,224106,204780
8,224109,204804
8,224108,204753
8,224109,204803
8,224096,204811
8,224127,204764
8,224119,204817
8,224061,204816
8,224119,204833
8,224120,204794
8,224120,204780
8,224113,204814
8,224111,204854
8,224104,204826
8,224113,204895
8,224122,204814
8,224110,204874
8,224128,204790
8,224124,204782
8,224141,204808
8,224118,204802
8,224125,204799
8,224128,204803
8,224127,204806
8,224140,204808
8,224155,204848
8,224150,204779
8,224143,204810
8,224154,204812
8,224155,204829
8,224153,204820
8,224164,204791
8,224142,204777
9,224167,204814
9,224146,204787
9,224154,204765
9,224151,204798
9,224169,204819
9,224156,204835
9,224143,204840
9,224150,204804
9,224172,204788
9,224150,204818
9,224157,204803
9,224150,204772
9,224150,204782
9,224161,204802
9,224142,204844
9,224128,204866
9,224096,204815
9,224100,204794
9,224058,204769
9,224033,204764
9,224015,204758
9,223996,204755
9,223969,204740
9,223949,204709
9,223947,204721
9,223922,204718
9,223910,204710
9,223893,204687
9,223893,204698
9,223879,204714
9,223895,204734
9,223913,204701
10,223939,204679
10,223944,204695
10,223948,204698
10,223967,204676
10,223961,204705
10,223961,204680
10,223960,204744
10,223972,204728
10,223967,204802
10,223961,204652
10,223980,204679
10,223967,204732
10,223967,204673
10,223977,204720
10,223980,204675
10,223973,204733
10,223971,204728
10,223978,204721
10,223980,204739
10,223987,204738
10,223981,204720
10,223972,204762
10,223976,204727
10,223987,204690
10,223981,204718
10,223988,204677
10,223981,204663
10,223989,204717
10,223993,204651
10,223982,204660
10,223980,204731
10,223979,204692
11,224006,204630
11,224007,204697
11,224013,204628
11,224017,204657
11,224013,204568
11,224001,204568
11,224018,204586
11,224021,204580
11,224011,204581
11,224024,204645
11,224031,204624
11,224027,204591
11,224046,204659
11,224044,204588
11,224043,204593
11,224046,204612
11,224054,204572
11,224046,204654
11,224059,204648
11,224056,204672
11,224068,204705
11,224071,204689
11,224073,204639
11,224085,204642
11,224089,204602
11,224077,204584
11,224080,204629
11,224083,204614
11,224067,204592
11,224086,204595
11,224074,204658
11,224066,204619
12,224067,204606
12,224087,204670
12,224092,204727
12,224102,204672
12,224104,204650
12,224112,204671
12,224129,204676
12,224122,204701
12,224113,204654
12,224133,204586
12,224135,204625
12,224130,204611
12,224146,204600
12,224147,204557
12,224139,204619
12,224160,204603
12,224142,204630
12,224142,204647
12,224135,204591
12,224147,204598
12,224157,204655
12,224151,204618
12,224170,204640
12,224169,204618
12,224184,204616
12,224177,204632
12,224183,204719
12,224182,204655
12,224175,204686
12,224197,204584
12,224201,204610
12,224179,204612
13,224202,204681
13,224207,204628
13,224201,204629
13,224208,204592
13,224219,204670
13,224214,204651
13,224208,204651
13,224209,204607
13,224198,204585
13,224195,204563
13,224212,204632
13,224172,204587
13,224162,204605
13,224126,204597
13,224106,204582
13,224099,204589
13,224067,204585
13,224046,204635
13,224033,204546
13,224017,204558
13,224020,204522
13,223993,204560
13,223983,204585
13,223971,204628
13,223968,204683
13,223968,204591
13,223968,204589
13,223980,204596
13,223973,204531
13,223976,204578
13,223987,204581
13,223995,204579
14,224043,204568
14,224040,204565
14,224056,204554
14,224068,204580
14,224050,204607
14,224071,204590
14,224070,204595
14,224054,204623
14,224064,204550
14,224062,204569
14,224071,204570
14,224062,204550
14,224065,204576
14,224071,204557
14,224063,204581
14,224065,204553
14,224086,204536
14,224064,204615
14,224081,204603
14,224074,204604
14,224055,204634
14,224071,204536
14,224071,204517
14,224065,204533
14,224054,204502
14,224050,204560
14,224059,204526
14,224048,204509
14,224059,204553
14,224059,204606
14,224034,204545
14,224052,204510
15,224058,204541
15,224062,204488
15,224066,204609
15,224062,204568
15,224066,204546
15,224073,204490
15,224053,204547
15,224071,204499
15,224077,204560
15,224075,204580
15,224062,204522
15,224075,204522
15,224076,204522
15,224066,204501
15,224078,204536
15,224077,204569
15,224071,204656
15,224061,204539
15,224077,204506
15,224086,204556
15,224076,204517
15,224070,204540
15,224080,204540
15,224071,204506
15,224085,204481
15,224112,204525
15,224091,204478
15,224086,204487
15,224091,204470
15,224110,204512
15,224096,204474
15,224103,204522
16,224121,204539
16,224121,204467
16,224125,204475
16,224127,204511
16,224124,204480
16,224139,204517
16,224125,204527
16,224133,204525
16,224124,204536
16,224129,204446
16,224123,204486
16,224130,204502
16,224121,204534
16,224126,204568
16,224135,204524
16,224127,204531
16,224137,204511
16,224131,204501
16,224144,204528
16,224139,204519
16,224139,204478
16,224144,204467
16,224144,204501
16,224145,204568
16,224144,204488
16,224144,204514
16,224138,204549
16,224146,204513
16,224158,204541
16,224142,204453
16,224142,204476
16,224152,204496
17,224161,204497
17,224068,204494
17,224045,204532
17,224025,204416
17,224004,204472
17,223983,204452
17,223962,204437
17,223954,204412
17,223949,204439
17,223924,204393
17,223925,204399
17,223917,204454
17,223917,204489
17,223924,204447
17,223909,204464
17,223925,204464
17,223928,204512
17,223926,204486
17,223932,204509
17,223936,204597
17,223945,204422
17,223956,204463
17,223959,204414
17,223966,204420
17,223978,204418
17,223974,204489
17,223977,204446
17,223988,204461
17,223988,204495
17,223984,204453
17,223991,204447
17,224008,204474
18,223985,204361
18,223992,204418
18,223995,204426
18,224005,204412
18,223988,204398
18,224008,204552
18,224009,204481
18,224012,204499
18,224016,204497
18,224008,204409
18,224012,204461
18,224036,204408
18,224004,204399
18,224016,204386
18,224011,204408
18,223994,204423
18,224004,204382
18,223997,204409
18,224016,204459
18,224026,204385
18,224018,204424
18,224019,204547
18,224012,204530
18,224025,204415
18,224019,204440
18,224010,204410
18,224014,204395
18,224014,204419
18,224027,204441
18,224022,204405
18,224040,204411
18,224045,204400
19,224047,204444
19,224065,204394
19,224072,204357
19,224082,204393
19,224074,204447
19,224074,204390
19,224077,204402
19,224082,204394
19,224084,204427
19,224084,204405
19,224086,204449
19,224085,204364
19,224095,204418
19,224093,204351
19,224092,204389
19,224089,204377
19,224090,204383
19,224089,204360
19,224080,204387
19,224099,204369
19,224087,204444
19,224094,204348
19,224096,204442
19,224102,204396
19,224103,204334
19,224108,204356
19,224096,204363
19,224109,204366
19,224110,204352
19,224116,204411
19,224103,204390
19,224117,204415
20,224128,204421
20,224126,204341
20,224123,204389
20,224129,204380
20,224146,204389
20,224130,204434
20,224140,204414
20,224154,204410
20,224144,204406
20,224145,204411
20,224172,204435
20,224160,204457
20,224166,204355
20,224173,204438
20,224165,204381
20,224156,204391
20,224168,204425
20,224185,204380
20,224162,204407
20,224182,204421
20,224173,204394
20,224182,204346
20,224163,204407
20,224170,204410
20,224172,204411
20,224160,204368
20,224172,204416
20,224176,204360
20,224167,204371
20,224186,204414
20,224184,204438
20,224183,204389
21,224056,204491
21,224040,204479
21,224033,204473
21,224002,204362
21,223978,204432
21,223960,204376
21,223955,204401
21,223934,204415
21,223915,204419
21,223930,204379
21,223914,204418
21,223922,204393
21,223943,204459
21,223954,204456
21,223958,204365
21,223964,204462
21,223970,204407
21,223973,204462
21,223985,204426
21,223990,204435
21,223981,204423
21,223991,204452
21,224004,204439
21,223994,204445
21,224018,204443
21,224004,204430
21,223999,204423
21,223981,204351
21,223991,204388
21,223994,204320
21,223979,204366
21,223993,204369
22,223984,204319
22,224004,204383
22,223995,204346
22,223995,204358
22,224010,204383
22,224004,204289
22,223986,204308
22,223983,204342
22,223989,204313
22,223991,204326
22,223985,204376
22,224003,204357
22,224018,204379
22,224005,204378
22,224015,204352
22,224011,204403
